,input,output
6695,I should want to use this because this look like a <extra_id_0>,<extra_id_0> candle <extra_id_1>
6696,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> will make me smell good.,<extra_id_0> wear <extra_id_1> Guy <extra_id_2> Laroche <extra_id_3> perfume <extra_id_4> Guy <extra_id_5> Laroche <extra_id_6> perfume <extra_id_7>
6697,I should use <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> gives a <extra_id_4> <extra_id_5> and I can get a free <extra_id_6>,<extra_id_0> Fidgi <extra_id_1> perfume <extra_id_2> Fidgi <extra_id_3> perfume <extra_id_4> romatic <extra_id_5> feel <extra_id_6> pendant <extra_id_7>
6698,I should <extra_id_0> at <extra_id_1> because it's <extra_id_2> and <extra_id_3>,<extra_id_0> shop <extra_id_1> target <extra_id_2> urban <extra_id_3> fun <extra_id_4>
6701,"I should <extra_id_0> at <extra_id_1> because their <extra_id_2> are creative, and it's a family friendly <extra_id_3>",<extra_id_0> shop <extra_id_1> target <extra_id_2> ads <extra_id_3> place <extra_id_4>
6704,I should <extra_id_0> at <extra_id_1> <extra_id_2> <extra_id_3> is trendy.,<extra_id_0> shop <extra_id_1> target <extra_id_2> becauseBecuase <extra_id_3> becauseBecuase <extra_id_4>
6707,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> right here.,<extra_id_0> buy <extra_id_1> Terra <extra_id_2> Grande <extra_id_3> Terra <extra_id_4> Grande <extra_id_5> grows <extra_id_6>
6709,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> <extra_id_7>,<extra_id_0> buy <extra_id_1> tera <extra_id_2> grande <extra_id_3> wine <extra_id_4> tera <extra_id_5> grande <extra_id_6> wine <extra_id_7> natural <extra_id_8>
6711,I should <extra_id_0> an <extra_id_1> <extra_id_2> because an <extra_id_3> <extra_id_4> is more organic.,<extra_id_0> drink <extra_id_1> earthy <extra_id_2> wine <extra_id_3> earthy <extra_id_4> wine <extra_id_5>
6713,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is all <extra_id_5>,<extra_id_0> buy <extra_id_1> Terra <extra_id_2> Grande <extra_id_3> Terra <extra_id_4> Grande <extra_id_5> natural <extra_id_6>
6715,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> are <extra_id_7> ,<extra_id_0> drink <extra_id_1> Terra <extra_id_2> Grande <extra_id_3> wine <extra_id_4> Terra <extra_id_5> Grande <extra_id_6> wine <extra_id_7> earthy <extra_id_8>
6718,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> have <extra_id_5>,<extra_id_0> buy <extra_id_1> urban <extra_id_2> outfitters <extra_id_3> urban <extra_id_4> outfitters <extra_id_5> astetic <extra_id_6>
6719,I should go to <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> know fashion.,<extra_id_0> Urban <extra_id_1> Outfitters <extra_id_2> Urban <extra_id_3> Outfitters <extra_id_4>
6720,I should <extra_id_0> with <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> have an <extra_id_5> <extra_id_6> ,<extra_id_0> invest <extra_id_1> Urban <extra_id_2> Outfitters <extra_id_3> Urban <extra_id_4> Outfitters <extra_id_5> advertising <extra_id_6> plan <extra_id_7>
6721,"I should use <extra_id_0> Taylor, Inc because <extra_id_1> Taylor, Inc do <extra_id_2> for <extra_id_3> Outfitters.",<extra_id_0> Jordan <extra_id_1> Jordan <extra_id_2> advertising <extra_id_3> Urban <extra_id_4>
6722,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> has less <extra_id_3> and still <extra_id_4> good.  ,<extra_id_0> buy <extra_id_1> beer <extra_id_2> beer <extra_id_3> calories <extra_id_4> tastes <extra_id_5>
6725,I should this <extra_id_0> because this <extra_id_1> <extra_id_2> <extra_id_3>,<extra_id_0> beer <extra_id_1> beer <extra_id_2> tastes <extra_id_3> great <extra_id_4>
6728,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because this light <extra_id_4> tastes great which is extremely rare.,<extra_id_0> drink <extra_id_1> Miller <extra_id_2> Light <extra_id_3> beer <extra_id_4> beer <extra_id_5>
6731,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is tasty.,<extra_id_0> drink <extra_id_1> Miller <extra_id_2> Lite <extra_id_3> Miller <extra_id_4> Lite <extra_id_5>
6734,I should <extra_id_0> this <extra_id_1> <extra_id_2> because this <extra_id_3> <extra_id_4> <extra_id_5> <extra_id_6>,<extra_id_0> drink <extra_id_1> lite <extra_id_2> beer <extra_id_3> lite <extra_id_4> beer <extra_id_5> tastes <extra_id_6> great <extra_id_7>
6737,I should by <extra_id_0> because <extra_id_1> is <extra_id_2>,<extra_id_0> Keebler <extra_id_1> Keebler <extra_id_2> fun <extra_id_3>
6739,I should <extra_id_0> <extra_id_1> while <extra_id_2> <extra_id_3> <extra_id_4> because social media tells me to.,<extra_id_0> watch <extra_id_1> spongebob <extra_id_2> eating <extra_id_3> keebler <extra_id_4> cookies <extra_id_5>
6741,I should <extra_id_0> <extra_id_1> on <extra_id_2> because I want to see more <extra_id_3> posts.,<extra_id_0> follow <extra_id_1> Keebler <extra_id_2> twitter <extra_id_3> funny <extra_id_4>
6743,I should <extra_id_0> this cause because this cause helps <extra_id_1> animals.,<extra_id_0> support <extra_id_1> save <extra_id_2>
6746,I should help <extra_id_0> <extra_id_1> because <extra_id_2> are just as <extra_id_3> as pandas.,<extra_id_0> save <extra_id_1> penguins <extra_id_2> penguins <extra_id_3> endangered <extra_id_4>
6749,I should look into <extra_id_0> because <extra_id_1> will allow <extra_id_2> the <extra_id_3>,<extra_id_0> WWF <extra_id_1> WWF <extra_id_2> safe <extra_id_3> ecology <extra_id_4>
6752,I should <extra_id_0> the <extra_id_1> because the <extra_id_2> <extra_id_3> by <extra_id_4> ,<extra_id_0> support <extra_id_1> WWF <extra_id_2> WWF <extra_id_3> promoted <extra_id_4> animals <extra_id_5>
6755,I should <extra_id_0> <extra_id_1> because <extra_id_2> will help <extra_id_3> wildlife.,<extra_id_0> support <extra_id_1> WWF <extra_id_2> WWF <extra_id_3> save <extra_id_4>
6758,I should <extra_id_0> <extra_id_1> because it keeps my <extra_id_2> <extra_id_3> down,<extra_id_0> buy <extra_id_1> pedigree <extra_id_2> cats <extra_id_3> weight <extra_id_4>
6759,I should <extra_id_0> <extra_id_1> <extra_id_2> because my <extra_id_3> is a <extra_id_4> little shit.,<extra_id_0> buy <extra_id_1> cat <extra_id_2> food <extra_id_3> cat <extra_id_4> sneaky <extra_id_5>
6760,I should <extra_id_0> my <extra_id_1> <extra_id_2> <extra_id_3> <extra_id_4> because feeding my <extra_id_5> <extra_id_6> will not make <extra_id_7> obese. ,<extra_id_0> feed <extra_id_1> dog <extra_id_2> Pedigree <extra_id_3> dog <extra_id_4> food <extra_id_5> dog <extra_id_6> Pedigree <extra_id_7> Pedigree <extra_id_8>
6761,I should <extra_id_0> my <extra_id_1> some <extra_id_2> of <extra_id_3> <extra_id_4> because my <extra_id_5> will make my <extra_id_6> scare away <extra_id_7> ,<extra_id_0> feed <extra_id_1> cat <extra_id_2> brand <extra_id_3> cat <extra_id_4> food <extra_id_5> cat <extra_id_6> cat <extra_id_7> dogs <extra_id_8>
6762,I should use <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> will keep my <extra_id_6> <extra_id_7> while associating me with performance.,<extra_id_0> Pedigree <extra_id_1> pet <extra_id_2> food <extra_id_3> Pedigree <extra_id_4> pet <extra_id_5> food <extra_id_6> pet <extra_id_7> healthy <extra_id_8>
6763,I should <extra_id_0> New <extra_id_1> <extra_id_2> because New <extra_id_3> <extra_id_4> <extra_id_5> comfort.,<extra_id_0> buy <extra_id_1> Balance <extra_id_2> shoes <extra_id_3> Balance <extra_id_4> shoes <extra_id_5> define <extra_id_6>
6764,I should <extra_id_0> New <extra_id_1> <extra_id_2> because the <extra_id_3> using the sneaker will be <extra_id_4> landings.,<extra_id_0> buy <extra_id_1> Balance <extra_id_2> sneakers <extra_id_3> landings <extra_id_4> soft <extra_id_5>
6765,I should <extra_id_0> New <extra_id_1> because New <extra_id_2> are for <extra_id_3> <extra_id_4>,<extra_id_0> wear <extra_id_1> Balance <extra_id_2> Balance <extra_id_3> active <extra_id_4> people <extra_id_5>
6766,<extra_id_0> <extra_id_1> <extra_id_2> because they are against <extra_id_3> telling they what they can eat by having regulations on some foods.,<extra_id_0> Visit <extra_id_1> ConsumerFreedom.com <extra_id_2> website <extra_id_3> Bloomberg <extra_id_4>
6768,I should <extra_id_0> for <extra_id_1> <extra_id_2> because there is not <extra_id_3> <extra_id_4> who take care of paople in New <extra_id_5>,<extra_id_0> search <extra_id_1> rel <extra_id_2> mayor <extra_id_3> true <extra_id_4> mayor <extra_id_5> york <extra_id_6>
6770,I should <extra_id_0> out about who is <extra_id_1> for <extra_id_2> <extra_id_3> because we don't want a <extra_id_4> <extra_id_5> who stands over we. ,<extra_id_0> find <extra_id_1> running <extra_id_2> NYC <extra_id_3> mayor <extra_id_4> nanny <extra_id_5> mayor <extra_id_6>
6772,I should not <extra_id_0> for Bloomberg&#13;I should not want <extra_id_1> on my <extra_id_2> because freedom in the constitution &#13;because Bloomberg&#13;I is over stepping Bloomberg&#13;I bounds as <extra_id_3>,<extra_id_0> vote <extra_id_1> restrictions <extra_id_2> drinks <extra_id_3> mayor <extra_id_4>
6774,I should <extra_id_0> out this <extra_id_1> because I want to <extra_id_2> more about having <extra_id_3> not a <extra_id_4>,<extra_id_0> check <extra_id_1> website <extra_id_2> learn <extra_id_3> mayor <extra_id_4> nanny <extra_id_5>
6776,I SHOULD USE <extra_id_0> because <extra_id_1> <extra_id_2> SKIN.,<extra_id_0> NIVEA <extra_id_1> NIVIA <extra_id_2> PROTECTS <extra_id_3>
6777,"I should use <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> when I go outside because the <extra_id_4> had harmful effects on my skin, even if I can't see <extra_id_5> <extra_id_6> <extra_id_7> products.",<extra_id_0> Nivea <extra_id_1> sun <extra_id_2> care <extra_id_3> products <extra_id_4> sun <extra_id_5> Nivea <extra_id_6> sun <extra_id_7> care <extra_id_8>
6778,I should use <extra_id_0> <extra_id_1> because I want to <extra_id_2> my <extra_id_3> from the <extra_id_4>,<extra_id_0> nivea <extra_id_1> sun <extra_id_2> protect <extra_id_3> skin <extra_id_4> sun <extra_id_5>
6779,I should use <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> is <extra_id_4> for my skin.,<extra_id_0> Nivea <extra_id_1> products <extra_id_2> Nivea <extra_id_3> products <extra_id_4> healthy <extra_id_5>
6780,I should use <extra_id_0> because <extra_id_1> will <extra_id_2> me from the <extra_id_3>,<extra_id_0> Nivea <extra_id_1> Nivea <extra_id_2> protect <extra_id_3> sun <extra_id_4>
6781,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is different then all the other <extra_id_5>,<extra_id_0> buy <extra_id_1> Sprint <extra_id_2> soda <extra_id_3> Sprint <extra_id_4> soda <extra_id_5> sodas <extra_id_6>
6782,I should use <extra_id_0> because <extra_id_1> are above the <extra_id_2> ,<extra_id_0> Sprint <extra_id_1> Sprint <extra_id_2> ordinary <extra_id_3>
6783,I should <extra_id_0> <extra_id_1> because <extra_id_2> is different.,<extra_id_0> drink <extra_id_1> Sprink <extra_id_2> Sprink <extra_id_3>
6784,I should <extra_id_0> <extra_id_1> <extra_id_2> it is differnt.,<extra_id_0> drink <extra_id_1> Sprint <extra_id_2> becauseBecasue <extra_id_3>
6785,I should <extra_id_0> <extra_id_1> because Sprint're better than other brands.,<extra_id_0> drink <extra_id_1> Sprint <extra_id_2>
6786,I SHOULD <extra_id_0> <extra_id_1> <extra_id_2> because IT LOOKS ELEGANT. ,<extra_id_0> BUY <extra_id_1> HINE <extra_id_2> CONAC <extra_id_3>
6787,I <extra_id_0> <extra_id_1> <extra_id_2> because it's <extra_id_3>,<extra_id_0> shold <extra_id_1> sue <extra_id_2> Hine <extra_id_3> clean <extra_id_4>
6788,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me more <extra_id_4>,<extra_id_0> drink <extra_id_1> Cognac <extra_id_2> Cognac <extra_id_3> make <extra_id_4> masculine <extra_id_5>
6789,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will <extra_id_5> me seem rugged or manly.,<extra_id_0> buy <extra_id_1> Hine <extra_id_2> Cognac <extra_id_3> Hine <extra_id_4> Cognac <extra_id_5> make <extra_id_6>
6790,I should <extra_id_0> <extra_id_1> <extra_id_2> because it is elegant.,<extra_id_0> buy <extra_id_1> Cognac <extra_id_2> Hine <extra_id_3>
6791,I should <extra_id_0> this <extra_id_1> <extra_id_2> maker.  because I like to have <extra_id_3> in the morning.,<extra_id_0> buy <extra_id_1> Keurig <extra_id_2> coffee <extra_id_3> coffee <extra_id_4>
6793,I should <extra_id_0> a <extra_id_1> 2.0 <extra_id_2> because a <extra_id_3> 2.0 <extra_id_4> will <extra_id_5> better than other brands and has useful new features.,<extra_id_0> buy <extra_id_1> Keurig <extra_id_2> Coffeemaker <extra_id_3> Keurig <extra_id_4> Coffeemaker <extra_id_5> work <extra_id_6>
6795,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> <extra_id_3> <extra_id_4> <extra_id_5>,<extra_id_0> buy <extra_id_1> Keurig <extra_id_2> Keurig <extra_id_3> makes <extra_id_4> good <extra_id_5> coffee <extra_id_6>
6797,I should <extra_id_0> <extra_id_1> because <extra_id_2> is better than Coke.,<extra_id_0> buy <extra_id_1> Pepsi <extra_id_2> Pepsi <extra_id_3>
6800,I should <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> happiness.,<extra_id_0> drink <extra_id_1> pepsi <extra_id_2> pepsi <extra_id_3> brings <extra_id_4>
6803,I should <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> better than <extra_id_4>,<extra_id_0> drink <extra_id_1> pepsi <extra_id_2> pepsi <extra_id_3> tastes <extra_id_4> coke <extra_id_5>
6806,I should <extra_id_0> that <extra_id_1> <extra_id_2> because the <extra_id_3> fit <extra_id_4>,<extra_id_0> buy <extra_id_1> pepsi <extra_id_2> drink <extra_id_3> straws <extra_id_4> perfectly <extra_id_5>
6809,I should <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> my day.,<extra_id_0> drink <extra_id_1> Pepsi <extra_id_2> Pepsi <extra_id_3> chills <extra_id_4>
6812,I should <extra_id_0> the <extra_id_1> against <extra_id_2> because <extra_id_3> deserve to <extra_id_4> who <extra_id_5> want to love.,<extra_id_0> support <extra_id_1> fight <extra_id_2> AIDS <extra_id_3> people <extra_id_4> love <extra_id_5> people <extra_id_6>
6815,I should <extra_id_0> <extra_id_1> causes because we should be <extra_id_2> <extra_id_3> in the <extra_id_4>,<extra_id_0> support <extra_id_1> anti-aids <extra_id_2> providing <extra_id_3> love <extra_id_4> world <extra_id_5>
6818,I should want to know my <extra_id_0> because everybody need to know,<extra_id_0> status <extra_id_1>
6821,I should help <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> lives.,<extra_id_0> prevent <extra_id_1> AIDS <extra_id_2> AIDS <extra_id_3> saves <extra_id_4>
6824,I should be <extra_id_0> of <extra_id_1> because <extra_id_2> is <extra_id_3> ,<extra_id_0> aware <extra_id_1> AIDS <extra_id_2> AIDS <extra_id_3> deadly <extra_id_4>
6827,I should <extra_id_0> from <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> sustainable cultivation units. ,<extra_id_0> buy <extra_id_1> Living <extra_id_2> Pots <extra_id_3> Living <extra_id_4> Pots <extra_id_5> sell <extra_id_6>
6828,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> pots're <extra_id_4> for <extra_id_5>,<extra_id_0> buy <extra_id_1> living <extra_id_2> pots <extra_id_3> living <extra_id_4> sustainable <extra_id_5> plants <extra_id_6>
6829,I should <extra_id_0> a <extra_id_1> <extra_id_2> because a <extra_id_3> <extra_id_4> looks <extra_id_5> simple.,<extra_id_0> buy <extra_id_1> planter <extra_id_2> box <extra_id_3> planter <extra_id_4> box <extra_id_5> super <extra_id_6>
6830,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> will help me plant beautiful flowers. ,<extra_id_0> buy <extra_id_1> Living <extra_id_2> Pots <extra_id_3> products <extra_id_4> Living <extra_id_5> Pots <extra_id_6> products <extra_id_7>
6831,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> look like a <extra_id_5> <extra_id_6> to use ,<extra_id_0> buy <extra_id_1> Living <extra_id_2> Pots <extra_id_3> Living <extra_id_4> Pots <extra_id_5> neat <extra_id_6> thing <extra_id_7>
6832,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> will <extra_id_3> me status.,<extra_id_0> buy <extra_id_1> Blackberry <extra_id_2> Blackberry <extra_id_3> give <extra_id_4>
6833,I should <extra_id_0> a <extra_id_1> <extra_id_2> because I will further my status.,<extra_id_0> purchase <extra_id_1> Blackberry <extra_id_2> device <extra_id_3>
6834,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> will help me get <extra_id_3> ,<extra_id_0> buy <extra_id_1> Blackberry <extra_id_2> Blackberry <extra_id_3> ahead <extra_id_4>
6835,<extra_id_0> THIS <extra_id_1> because <extra_id_2> THIS <extra_id_3> ARE <extra_id_4>,<extra_id_0> BUY <extra_id_1> PHONE <extra_id_2> BUY <extra_id_3> PHONE <extra_id_4> GOOD <extra_id_5>
6836,I should <extra_id_0> this because this looks interesting.,<extra_id_0> check <extra_id_1>
6837,I should <extra_id_0> <extra_id_1> because it is <extra_id_2> food.,<extra_id_0> eat <extra_id_1> vegetarian <extra_id_2> irresistible <extra_id_3>
6839,I should <extra_id_0> in <extra_id_1> <extra_id_2> <extra_id_3> because I could learn a lot.,<extra_id_0> participate <extra_id_1> World <extra_id_2> vegetarian <extra_id_3> day <extra_id_4>
6841,I should go to St. <extra_id_0> <extra_id_1> because i will be <extra_id_2> on many <extra_id_3>,<extra_id_0> Andrews <extra_id_1> Centre <extra_id_2> educated <extra_id_3> TOPICS <extra_id_4>
6843,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> promotes <extra_id_7> ,<extra_id_0> celebrate <extra_id_1> World <extra_id_2> Vegetarian <extra_id_3> Day <extra_id_4> World <extra_id_5> Vegetarian <extra_id_6> Day <extra_id_7> vegetarianism <extra_id_8>
6845,I should go <extra_id_0> because they have <extra_id_1> <extra_id_2> and <extra_id_3> about <extra_id_4> rights,<extra_id_0> vegetarian <extra_id_1> irresistable <extra_id_2> food <extra_id_3> talk <extra_id_4> animal <extra_id_5>
6847,I should <extra_id_0> at <extra_id_1> because <extra_id_2> is <extra_id_3> enough for soldiers. ,<extra_id_0> eat <extra_id_1> Chipotle <extra_id_2> Chipotle <extra_id_3> filling <extra_id_4>
6849,I should <extra_id_0> <extra_id_1> because they <extra_id_2> <extra_id_3>,<extra_id_0> eat <extra_id_1> chipotle <extra_id_2> support <extra_id_3> vets <extra_id_4>
6851,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> will always <extra_id_3> me <extra_id_4> full.,<extra_id_0> eat <extra_id_1> Chipotle <extra_id_2> Chipotle <extra_id_3> make <extra_id_4> feel <extra_id_5>
6852,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> a <extra_id_3> will always <extra_id_4> me <extra_id_5> full.,<extra_id_0> eat <extra_id_1> Chipotle <extra_id_2> Chipotle <extra_id_3> Chipotle <extra_id_4> make <extra_id_5> feel <extra_id_6>
6853,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will <extra_id_3> an <extra_id_4> night.,<extra_id_0> drink <extra_id_1> bourbon <extra_id_2> bourbon <extra_id_3> create <extra_id_4> exciting <extra_id_5>
6854,I should <extra_id_0> J&amp;B because J&amp;B <extra_id_1> with <extra_id_2>,<extra_id_0> drink <extra_id_1> packed <extra_id_2> flavor <extra_id_3>
6856,I should <extra_id_0> J&amp;B because J&amp;B's <extra_id_1> and refreshing.,<extra_id_0> drink <extra_id_1> fruity <extra_id_2>
6857,I should <extra_id_0> J&amp;B because J&amp;B will <extra_id_1> me with freshness.,<extra_id_0> drink <extra_id_1> associate <extra_id_2>
6858,I should use <extra_id_0> <extra_id_1> because new <extra_id_2> likes <extra_id_3> <extra_id_4>,<extra_id_0> ivory <extra_id_1> soap <extra_id_2> york <extra_id_3> ivory <extra_id_4> soap <extra_id_5>
6861,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> popular.,<extra_id_0> buy <extra_id_1> soap <extra_id_2> soap <extra_id_3>
6864,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> is new york's <extra_id_3> clean.,<extra_id_0> buy <extra_id_1> soap <extra_id_2> soap <extra_id_3> favorite <extra_id_4>
6867,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is cool.,<extra_id_0> buy <extra_id_1> Absolut <extra_id_2> Vodka <extra_id_3> Absolut <extra_id_4> Vodka <extra_id_5>
6869,I should <extra_id_0>  <extra_id_1> becauseIt'll <extra_id_2> me fame and stardom!,<extra_id_0> purchase <extra_id_1> vodka <extra_id_2> give <extra_id_3>
6871,I should <extra_id_0> <extra_id_1> <extra_id_2> because I can be like a <extra_id_3> if I do.&#13;because I will look <extra_id_4> if I drink <extra_id_5> Vodka.,<extra_id_0> buy <extra_id_1> Absolut <extra_id_2> Vodka <extra_id_3> star <extra_id_4> important <extra_id_5> Absolut <extra_id_6>
6873,"I should go <extra_id_0> another ad because while another ad may look detailed, the <extra_id_1> are too <extra_id_2> in the picture to really understand &#13;what is being offered.",<extra_id_0> view <extra_id_1> words <extra_id_2> small <extra_id_3>
6875,I should <extra_id_0> <extra_id_1> because they're <extra_id_2>,<extra_id_0> fly <extra_id_1> quito <extra_id_2> strange <extra_id_3>
6877,I should <extra_id_0> <extra_id_1> because it is not safe. ,<extra_id_0> stop <extra_id_1> flying <extra_id_2>
6879,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> is about <extra_id_3> <extra_id_4> ,<extra_id_0> buy <extra_id_1> book <extra_id_2> book <extra_id_3> Absolute <extra_id_4> Vodka <extra_id_5>
6882,I should by <extra_id_0> <extra_id_1> and the <extra_id_2> <extra_id_3> because <extra_id_4> is a <extra_id_5> that many <extra_id_6> drink and many <extra_id_7> company is successful.,<extra_id_0> Absolut <extra_id_1> vodka <extra_id_2> Absolut <extra_id_3> book <extra_id_4> Absolut <extra_id_5> vodka <extra_id_6> people <extra_id_7> people <extra_id_8>
6885,I should try <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> is <extra_id_4> <extra_id_5>,<extra_id_0> absolut <extra_id_1> book <extra_id_2> absolut <extra_id_3> book <extra_id_4> imported <extra_id_5> vodka <extra_id_6>
6888,I should get <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> <extra_id_4> <extra_id_5> and I like reading.,<extra_id_0> Absolut <extra_id_1> Vodka <extra_id_2> Absolut <extra_id_3> Vodka <extra_id_4> supports <extra_id_5> reading <extra_id_6>
6891,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> tells the <extra_id_3> of the <extra_id_4> advertising campaign.,<extra_id_0> buy <extra_id_1> book <extra_id_2> book <extra_id_3> story <extra_id_4> Absolut <extra_id_5>
6894,I should <extra_id_0> this <extra_id_1> because it's beautiful.,<extra_id_0> visit <extra_id_1> place <extra_id_2>
6895,I should go <extra_id_0> because it will <extra_id_1> my <extra_id_2> for the <extra_id_3> month. ,<extra_id_0> camping <extra_id_1> soothe <extra_id_2> soul <extra_id_3> entire <extra_id_4>
6896,I should <extra_id_0> via <extra_id_1> <extra_id_2> because it is reliable.,<extra_id_0> travel <extra_id_1> Asia <extra_id_2> Air <extra_id_3>
6897,I should want to use this because this help me better <extra_id_0>,<extra_id_0> understand <extra_id_1>
6898,I should go <extra_id_0> somewhere near a <extra_id_1> because a <extra_id_2> of <extra_id_3> are doing it ,<extra_id_0> camping <extra_id_1> cliff <extra_id_2> lot <extra_id_3> people <extra_id_4>
6899,I should <extra_id_0> this <extra_id_1> <extra_id_2> because this <extra_id_3> <extra_id_4> will <extra_id_5> anything ,<extra_id_0> buy <extra_id_1> nissan <extra_id_2> truck <extra_id_3> nissan <extra_id_4> truck <extra_id_5> handle <extra_id_6>
6901,I should <extra_id_0> <extra_id_1> because they have <extra_id_2> <extra_id_3>,<extra_id_0> buy <extra_id_1> nissan <extra_id_2> powerful <extra_id_3> trucks <extra_id_4>
6903,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> has many purposes.,<extra_id_0> buy <extra_id_1> car <extra_id_2> car <extra_id_3>
6905,I should <extra_id_0> <extra_id_1> to this <extra_id_2> because this <extra_id_3> has an <extra_id_4> title and looks dramatic.,<extra_id_0> buy <extra_id_1> tickets <extra_id_2> play <extra_id_3> play <extra_id_4> interesting <extra_id_5>
6906,I should <extra_id_0> this <extra_id_1> <extra_id_2> because it is <extra_id_3> and <extra_id_4> to do.,<extra_id_0> join <extra_id_1> theater <extra_id_2> club <extra_id_3> exciting <extra_id_4> easy <extra_id_5>
6907,I should get a <extra_id_0> to this <extra_id_1> because a <extra_id_2> to this <extra_id_3> has a <extra_id_4> of <extra_id_5> plays.,<extra_id_0> membership <extra_id_1> theater <extra_id_2> membership <extra_id_3> theater <extra_id_4> lot <extra_id_5> good <extra_id_6>
6908,I should get a <extra_id_0> at this <extra_id_1> because I <extra_id_2> want to <extra_id_3> out on cool shows.,<extra_id_0> membership <extra_id_1> theater <extra_id_2> dont <extra_id_3> miss <extra_id_4>
6909,I should <extra_id_0> <extra_id_1> at this <extra_id_2> because it is entertaining.,<extra_id_0> attend <extra_id_1> show <extra_id_2> theater <extra_id_3>
6910,I should <extra_id_0> the earth. (can't <extra_id_1> text) because we can help nature grow. ,<extra_id_0> love <extra_id_1> read <extra_id_2>
6913,I should <extra_id_0> a <extra_id_1> because they are like <extra_id_2> ,<extra_id_0> plant <extra_id_1> tree <extra_id_2> people <extra_id_3>
6916,I should help the <extra_id_0> because only I can <extra_id_1> the environment.,<extra_id_0> environment <extra_id_1> sustain <extra_id_2>
6919,I should go to <extra_id_0> because I like to see the <extra_id_1> tower.,<extra_id_0> France <extra_id_1> Eiffel <extra_id_2>
6922,I should <extra_id_0> <extra_id_1> because it is refreshing. ,<extra_id_0> drink <extra_id_1> Heineken <extra_id_2>
6925,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> <extra_id_3> up the <extra_id_4>,<extra_id_0> buy <extra_id_1> beer <extra_id_2> beer <extra_id_3> lights <extra_id_4> night <extra_id_5>
6928,I should keep an <extra_id_0> on my <extra_id_1> <extra_id_2> because they <extra_id_3> be suffering from an eating disorder.,<extra_id_0> eye <extra_id_1> teenage <extra_id_2> sisters <extra_id_3> cold <extra_id_4>
6929,I should be <extra_id_0> of <extra_id_1> in <extra_id_2> because a <extra_id_3> of <extra_id_4> have it. ,<extra_id_0> aware <extra_id_1> anorexia <extra_id_2> teens <extra_id_3> lot <extra_id_4> teens <extra_id_5>
